name,nationality,start,end,entries
McLaren,British,1968,2022,53
Ferrari,Italian,1950,2022,73
Williams,British,1975,2022,47
Jordan,Irish,1991,2005,15
BAR,British,1999,2005,7
Sauber,Swiss,1993,2018,22
Benetton,Italian,1986,2001,16
Jaguar,British,2000,2004,5
Prost,French,1997,2001,5
Arrows,British,1978,2002,19
Minardi,Italian,1985,2005,21
Renault,French,1977,2020,24
Toyota,Japanese,2002,2009,8
Red Bull,Austrian,2005,2022,18
Honda,Japanese,1964,2008,8
BMW Sauber,German,2006,2009,4
Toro Rosso,Italian,2006,2019,14
MF1,Russian,2006,2006,1
Super Aguri,Japanese,2006,2008,3
Spyker,Dutch,2007,2007,1
Force India,Indian,2008,2018,11
Brawn,British,2009,2009,1
Mercedes,German,1954,2022,15
Virgin,British,2010,2011,2
Lotus,Malaysian,2010,2011,2
HRT,Spanish,2010,2012,3
Lotus F1,British,2012,2015,4
Caterham,Malaysian,2012,2014,3
Marussia,Russian,2012,2014,3
Manor Marussia,British,2015,2016,2
Haas F1 Team,American,2016,2022,7
Racing Point,British,2019,2020,2
Alfa Romeo,Swiss,1950,2022,15
AlphaTauri,Italian,2020,2022,3
Alpine F1 Team,French,2021,2022,2
Aston Martin,British,1959,2022,4
