first_name,last_name,nationality,birth_date,gender
Michael,Schumacher,German,1969-01-03,male
David,Coulthard,British,1971-03-27,male
Rubens,Barrichello,Brazilian,1972-05-23,male
Ralf,Schumacher,German,1975-06-30,male
Mika,Häkkinen,Finnish,1968-09-28,male
Juan,Pablo,Colombian,1975-09-20,male
Jacques,Villeneuve,Canadian,1971-04-09,male
Jarno,Trulli,Italian,1974-07-13,male
Nick,Heidfeld,German,1977-05-10,male
Kimi,Räikkönen,Finnish,1979-10-17,male
Giancarlo,Fisichella,Italian,1973-01-14,male
Eddie,Irvine,British,1965-11-10,male
Heinz-Harald,Frentzen,German,1967-05-18,male
Olivier,Panis,French,1966-09-02,male
Jean,Alesi,French,1964-06-11,male
Pedro,de,Spanish,1971-02-24,male
Jenson,Button,British,1980-01-19,male
Jos,Verstappen,Dutch,1972-03-04,male
Enrique,Bernoldi,Brazilian,1978-10-19,male
Fernando,Alonso,Spanish,1981-07-29,male
Tarso,Marques,Brazilian,1976-01-19,male
Luciano,Burti,Brazilian,1975-03-05,male
Gastón,Mazzacane,Argentine,1975-05-08,male
Alex,Yoong,Malaysian,1976-07-20,male
Tomáš,Enge,Czech,1976-09-11,male
Ricardo,Zonta,Brazilian,1976-03-23,male
Felipe,Massa,Brazilian,1981-04-25,male
Takuma,Sato,Japanese,1977-01-28,male
Mark,Webber,Australian,1976-08-27,male
Mika,Salo,Finnish,1966-11-30,male
Allan,McNish,British,1969-12-29,male
Anthony,Davidson,British,1979-04-18,male
Cristiano,da,Brazilian,1973-09-19,male
Marc,Gené,Spanish,1974-03-29,male
Justin,Wilson,British,1978-07-31,male
Ralph,Firman,Irish,1975-05-20,male
Antônio,Pizzonia,Brazilian,1980-09-11,male
Nicolas,Kiesa,Danish,1978-03-03,male
Zsolt,Baumgartner,"Hungarian, Magyar",1981-01-01,male
Christian,Klien,Austrian,1983-02-07,male
Timo,Glock,German,1982-03-18,male
Gianmaria,Bruni,Italian,1981-05-30,male
Giorgio,Pantano,Italian,1979-02-04,male
Tiago,Monteiro,Portuguese,1976-07-24,male
Alexander,Wurz,Austrian,1974-02-15,male
Narain,Karthikeyan,Indian,1977-01-14,male
Christijan,Albers,Dutch,1979-04-16,male
Patrick,Friesacher,Austrian,1980-09-26,male
Vitantonio,Liuzzi,Italian,1980-08-06,male
Robert,Doornbos,Dutch,1981-09-23,male
Robert,Kubica,Polish,1984-12-07,male
Nico,Rosberg,German,1985-06-27,male
Scott,Speed,American,1983-01-24,male
Franck,Montagny,French,1978-01-05,male
Sakon,Yamamoto,Japanese,1982-07-09,male
Yuji,Ide,Japanese,1975-01-21,male
Lewis,Hamilton,British,1985-01-07,male
Heikki,Kovalainen,Finnish,1981-10-19,male
Sebastian,Vettel,German,1987-07-03,male
Adrian,Sutil,German,1983-01-11,male
Markus,Winkelhock,German,1980-06-13,male
Kazuki,Nakajima,Japanese,1985-01-11,male
Nelson,Piquet,Brazilian,1985-07-25,male
Sébastien,Bourdais,French,1979-02-28,male
Sébastien,Buemi,Swiss,1988-10-31,male
Kamui,Kobayashi,Japanese,1986-09-13,male
Jaime,Alguersuari,Spanish,1990-03-23,male
Romain,Grosjean,French,1986-04-17,male
Luca,Badoer,Italian,1971-01-25,male
Vitaly,Petrov,Russian,1984-09-08,male
Nico,Hülkenberg,German,1987-08-19,male
Lucas,di,Brazilian,1984-08-11,male
Bruno,Senna,Brazilian,1983-10-15,male
Karun,Chandhok,Indian,1984-01-19,male
Paul,di,British,1986-04-16,male
Sergio,Pérez,Mexican,1990-01-26,male
Pastor,Maldonado,Venezuelan,1985-03-09,male
Jérôme,d'Ambrosio,Belgian,1985-12-27,male
Daniel,Ricciardo,Australian,1989-07-01,male
Jean-Éric,Vergne,French,1990-04-25,male
Charles,Pic,French,1990-02-15,male
Esteban,Gutiérrez,Mexican,1991-08-05,male
Valtteri,Bottas,Finnish,1989-08-28,male
Jules,Bianchi,French,1989-08-03,male
Max,Chilton,British,1991-04-21,male
Giedo,van,Dutch,1985-04-25,male
Kevin,Magnussen,Danish,1992-10-05,male
Daniil,Kvyat,Russian,1994-04-26,male
Marcus,Ericsson,Swedish,1990-09-02,male
André,Lotterer,German,1981-11-19,male
Will,Stevens,British,1991-06-28,male
Max,Verstappen,Dutch,1997-09-30,male
Felipe,Nasr,Brazilian,1992-08-21,male
Carlos,Sainz,Spanish,1994-09-01,male
Roberto,Merhi,Spanish,1991-03-22,male
Alexander,Rossi,American,1991-09-25,male
Jolyon,Palmer,British,1991-01-20,male
Pascal,Wehrlein,German,1994-10-18,male
Stoffel,Vandoorne,Belgian,1992-03-26,male
Rio,Haryanto,Indonesian,1993-01-22,male
Esteban,Ocon,French,1996-09-17,male
Lance,Stroll,Canadian,1998-10-29,male
Pierre,Gasly,French,1996-02-07,male
Brendon,Hartley,"New Zealand, NZ",1989-11-10,male
Antonio,Giovinazzi,Italian,1993-12-14,male
Charles,Leclerc,"Monégasque, Monacan",1997-10-16,male
Sergey,Sirotkin,Russian,1995-08-27,male
Alexander,Albon,Thai,1996-03-23,male
Lando,Norris,British,1999-11-13,male
George,Russell,British,1998-02-15,male
Nicholas,Latifi,Canadian,1995-06-29,male
Pietro,Fittipaldi,Brazilian,1996-06-25,male
Jack,Aitken,British,1995-09-23,male
Yuki,Tsunoda,Japanese,2000-05-11,male
Mick,Schumacher,German,1999-03-22,male
Nikita,Mazepin,Russian,1999-03-02,male
