0,1,2,3,4
1,,Michael Schumacher,Ferrari,2001 Australian Grand Prix
2,,Rubens Barrichello,Ferrari,2001 Australian Grand Prix
3,,Mika Häkkinen,McLaren,2001 Australian Grand Prix
4,,Heinz-Harald Frentzen,Jordan,2001 Australian Grand Prix
5,,Ralf Schumacher,Williams,2001 Australian Grand Prix
6,,David Coulthard,McLaren,2001 Australian Grand Prix
7,,Jarno Trulli,Jordan,2001 Australian Grand Prix
8,,Jacques Villeneuve,BAR,2001 Australian Grand Prix
9,,Olivier Panis,BAR,2001 Australian Grand Prix
10,,Nick Heidfeld,Sauber,2001 Australian Grand Prix
11,,Juan Pablo Montoya,Williams,2001 Australian Grand Prix
12,,Eddie Irvine,Jaguar,2001 Australian Grand Prix
13,,Kimi Räikkönen,Sauber,2001 Australian Grand Prix
14,,Jean Alesi,Prost,2001 Australian Grand Prix
15,,Jos Verstappen,Arrows,2001 Australian Grand Prix
16,,Jenson Button,Benetton,2001 Australian Grand Prix
17,,Giancarlo Fisichella,Benetton,2001 Australian Grand Prix
18,,Enrique Bernoldi,Arrows,2001 Australian Grand Prix
19,,Fernando Alonso,Minardi,2001 Australian Grand Prix
20,,Gastón Mazzacane,Prost,2001 Australian Grand Prix
21,,Luciano Burti,Jaguar,2001 Australian Grand Prix
22,,Tarso Marques,Minardi,2001 Australian Grand Prix
1,,Michael Schumacher,Ferrari,2001 Malaysian Grand Prix
2,,Rubens Barrichello,Ferrari,2001 Malaysian Grand Prix
3,,Ralf Schumacher,Williams,2001 Malaysian Grand Prix
4,,Mika Häkkinen,McLaren,2001 Malaysian Grand Prix
5,,Jarno Trulli,Jordan,2001 Malaysian Grand Prix
6,,Juan Pablo Montoya,Williams,2001 Malaysian Grand Prix
7,,Jacques Villeneuve,BAR,2001 Malaysian Grand Prix
8,,David Coulthard,McLaren,2001 Malaysian Grand Prix
9,,Heinz-Harald Frentzen,Jordan,2001 Malaysian Grand Prix
10,,Olivier Panis,BAR,2001 Malaysian Grand Prix
11,,Nick Heidfeld,Sauber,2001 Malaysian Grand Prix
12,,Eddie Irvine,Jaguar,2001 Malaysian Grand Prix
13,,Jean Alesi,Prost,2001 Malaysian Grand Prix
14,,Kimi Räikkönen,Sauber,2001 Malaysian Grand Prix
15,,Luciano Burti,Jaguar,2001 Malaysian Grand Prix
16,,Giancarlo Fisichella,Benetton,2001 Malaysian Grand Prix
17,,Jenson Button,Benetton,2001 Malaysian Grand Prix
18,,Jos Verstappen,Arrows,2001 Malaysian Grand Prix
19,,Gastón Mazzacane,Prost,2001 Malaysian Grand Prix
20,,Tarso Marques,Minardi,2001 Malaysian Grand Prix
21,,Fernando Alonso,Minardi,2001 Malaysian Grand Prix
22,,Enrique Bernoldi,Arrows,2001 Malaysian Grand Prix
1,,Michael Schumacher,Ferrari,2001 Brazilian Grand Prix
2,,Ralf Schumacher,Williams,2001 Brazilian Grand Prix
3,,Mika Häkkinen,McLaren,2001 Brazilian Grand Prix
4,,Juan Pablo Montoya,Williams,2001 Brazilian Grand Prix
5,,David Coulthard,McLaren,2001 Brazilian Grand Prix
6,,Rubens Barrichello,Ferrari,2001 Brazilian Grand Prix
7,,Jarno Trulli,Jordan,2001 Brazilian Grand Prix
8,,Heinz-Harald Frentzen,Jordan,2001 Brazilian Grand Prix
9,,Nick Heidfeld,Sauber,2001 Brazilian Grand Prix
10,,Kimi Räikkönen,Sauber,2001 Brazilian Grand Prix
11,,Olivier Panis,BAR,2001 Brazilian Grand Prix
12,,Jacques Villeneuve,BAR,2001 Brazilian Grand Prix
13,,Eddie Irvine,Jaguar,2001 Brazilian Grand Prix
14,,Luciano Burti,Jaguar,2001 Brazilian Grand Prix
15,,Jean Alesi,Prost,2001 Brazilian Grand Prix
16,,Enrique Bernoldi,Arrows,2001 Brazilian Grand Prix
17,,Jos Verstappen,Arrows,2001 Brazilian Grand Prix
18,,Giancarlo Fisichella,Benetton,2001 Brazilian Grand Prix
19,,Fernando Alonso,Minardi,2001 Brazilian Grand Prix
20,,Jenson Button,Benetton,2001 Brazilian Grand Prix
21,,Gastón Mazzacane,Prost,2001 Brazilian Grand Prix
22,,Tarso Marques,Minardi,2001 Brazilian Grand Prix
1,,David Coulthard,McLaren,2001 San Marino Grand Prix
2,,Mika Häkkinen,McLaren,2001 San Marino Grand Prix
3,,Ralf Schumacher,Williams,2001 San Marino Grand Prix
4,,Michael Schumacher,Ferrari,2001 San Marino Grand Prix
5,,Jarno Trulli,Jordan,2001 San Marino Grand Prix
6,,Rubens Barrichello,Ferrari,2001 San Marino Grand Prix
7,,Juan Pablo Montoya,Williams,2001 San Marino Grand Prix
8,,Olivier Panis,BAR,2001 San Marino Grand Prix
9,,Heinz-Harald Frentzen,Jordan,2001 San Marino Grand Prix
10,,Kimi Räikkönen,Sauber,2001 San Marino Grand Prix
11,,Jacques Villeneuve,BAR,2001 San Marino Grand Prix
12,,Nick Heidfeld,Sauber,2001 San Marino Grand Prix
13,,Eddie Irvine,Jaguar,2001 San Marino Grand Prix
14,,Jean Alesi,Prost,2001 San Marino Grand Prix
15,,Luciano Burti,Jaguar,2001 San Marino Grand Prix
16,,Enrique Bernoldi,Arrows,2001 San Marino Grand Prix
17,,Jos Verstappen,Arrows,2001 San Marino Grand Prix
18,,Fernando Alonso,Minardi,2001 San Marino Grand Prix
19,,Giancarlo Fisichella,Benetton,2001 San Marino Grand Prix
20,,Gastón Mazzacane,Prost,2001 San Marino Grand Prix
21,,Jenson Button,Benetton,2001 San Marino Grand Prix
22,,Tarso Marques,Minardi,2001 San Marino Grand Prix
1,,Michael Schumacher,Ferrari,2001 Spanish Grand Prix
2,,Mika Häkkinen,McLaren,2001 Spanish Grand Prix
3,,David Coulthard,McLaren,2001 Spanish Grand Prix
4,,Rubens Barrichello,Ferrari,2001 Spanish Grand Prix
5,,Ralf Schumacher,Williams,2001 Spanish Grand Prix
6,,Jarno Trulli,Jordan,2001 Spanish Grand Prix
7,,Jacques Villeneuve,BAR,2001 Spanish Grand Prix
8,,Heinz-Harald Frentzen,Jordan,2001 Spanish Grand Prix
9,,Kimi Räikkönen,Sauber,2001 Spanish Grand Prix
10,,Nick Heidfeld,Sauber,2001 Spanish Grand Prix
11,,Olivier Panis,BAR,2001 Spanish Grand Prix
12,,Juan Pablo Montoya,Williams,2001 Spanish Grand Prix
13,,Eddie Irvine,Jaguar,2001 Spanish Grand Prix
14,,Luciano Burti,Prost,2001 Spanish Grand Prix
15,,Jean Alesi,Prost,2001 Spanish Grand Prix
16,,Enrique Bernoldi,Arrows,2001 Spanish Grand Prix
17,,Jos Verstappen,Arrows,2001 Spanish Grand Prix
18,,Fernando Alonso,Minardi,2001 Spanish Grand Prix
19,,Giancarlo Fisichella,Benetton,2001 Spanish Grand Prix
20,,Pedro de la Rosa,Jaguar,2001 Spanish Grand Prix
21,,Jenson Button,Benetton,2001 Spanish Grand Prix
22,,Tarso Marques,Minardi,2001 Spanish Grand Prix
1,,Michael Schumacher,Ferrari,2001 Austrian Grand Prix
2,,Juan Pablo Montoya,Williams,2001 Austrian Grand Prix
3,,Ralf Schumacher,Williams,2001 Austrian Grand Prix
4,,Rubens Barrichello,Ferrari,2001 Austrian Grand Prix
5,,Jarno Trulli,Jordan,2001 Austrian Grand Prix
6,,Nick Heidfeld,Sauber,2001 Austrian Grand Prix
7,,David Coulthard,McLaren,2001 Austrian Grand Prix
8,,Mika Häkkinen,McLaren,2001 Austrian Grand Prix
9,,Kimi Räikkönen,Sauber,2001 Austrian Grand Prix
10,,Olivier Panis,BAR,2001 Austrian Grand Prix
11,,Heinz-Harald Frentzen,Jordan,2001 Austrian Grand Prix
12,,Jacques Villeneuve,BAR,2001 Austrian Grand Prix
13,,Eddie Irvine,Jaguar,2001 Austrian Grand Prix
14,,Pedro de la Rosa,Jaguar,2001 Austrian Grand Prix
15,,Enrique Bernoldi,Arrows,2001 Austrian Grand Prix
16,,Jos Verstappen,Arrows,2001 Austrian Grand Prix
17,,Luciano Burti,Prost,2001 Austrian Grand Prix
18,,Fernando Alonso,Minardi,2001 Austrian Grand Prix
19,,Giancarlo Fisichella,Benetton,2001 Austrian Grand Prix
20,,Jean Alesi,Prost,2001 Austrian Grand Prix
21,,Jenson Button,Benetton,2001 Austrian Grand Prix
22,,Tarso Marques,Minardi,2001 Austrian Grand Prix
1,,David Coulthard,McLaren,2001 Monaco Grand Prix
2,,Michael Schumacher,Ferrari,2001 Monaco Grand Prix
3,,Mika Häkkinen,McLaren,2001 Monaco Grand Prix
4,,Rubens Barrichello,Ferrari,2001 Monaco Grand Prix
5,,Ralf Schumacher,Williams,2001 Monaco Grand Prix
6,,Eddie Irvine,Jaguar,2001 Monaco Grand Prix
7,,Juan Pablo Montoya,Williams,2001 Monaco Grand Prix
8,,Jarno Trulli,Jordan,2001 Monaco Grand Prix
9,,Jacques Villeneuve,BAR,2001 Monaco Grand Prix
10,,Giancarlo Fisichella,Benetton,2001 Monaco Grand Prix
11,,Jean Alesi,Prost,2001 Monaco Grand Prix
12,,Olivier Panis,BAR,2001 Monaco Grand Prix
13,,Heinz-Harald Frentzen,Jordan,2001 Monaco Grand Prix
14,,Pedro de la Rosa,Jaguar,2001 Monaco Grand Prix
15,,Kimi Räikkönen,Sauber,2001 Monaco Grand Prix
16,,Nick Heidfeld,Sauber,2001 Monaco Grand Prix
17,,Jenson Button,Benetton,2001 Monaco Grand Prix
18,,Fernando Alonso,Minardi,2001 Monaco Grand Prix
19,,Jos Verstappen,Arrows,2001 Monaco Grand Prix
20,,Enrique Bernoldi,Arrows,2001 Monaco Grand Prix
21,,Luciano Burti,Prost,2001 Monaco Grand Prix
22,,Tarso Marques,Minardi,2001 Monaco Grand Prix
1,,Michael Schumacher,Ferrari,2001 Canadian Grand Prix
2,,Ralf Schumacher,Williams,2001 Canadian Grand Prix
3,,David Coulthard,McLaren,2001 Canadian Grand Prix
4,,Jarno Trulli,Jordan,2001 Canadian Grand Prix
5,,Rubens Barrichello,Ferrari,2001 Canadian Grand Prix
6,,Olivier Panis,BAR,2001 Canadian Grand Prix
