0,1,2,3,4,5,6
1,1:38:26.533,58,10,Michael Schumacher,Ferrari,2001 Australian Grand Prix
2,+1.717,58,6,David Coulthard,McLaren,2001 Australian Grand Prix
3,+33.491,58,4,Rubens Barrichello,Ferrari,2001 Australian Grand Prix
4,+1:11.479,58,3,Nick Heidfeld,Sauber,2001 Australian Grand Prix
5,+1:12.807,58,2,Heinz-Harald Frentzen,Jordan,2001 Australian Grand Prix
6,+1:24.143,58,1,Kimi Räikkönen,Sauber,2001 Australian Grand Prix
7,+1:27.050,58,0,Olivier Panis,BAR,2001 Australian Grand Prix
8,+1 Lap,57,0,Luciano Burti,Jaguar,2001 Australian Grand Prix
9,+1 Lap,57,0,Jean Alesi,Prost,2001 Australian Grand Prix
10,+1 Lap,57,0,Jos Verstappen,Arrows,2001 Australian Grand Prix
11,+1 Lap,57,0,Eddie Irvine,Jaguar,2001 Australian Grand Prix
12,+2 Laps,56,0,Fernando Alonso,Minardi,2001 Australian Grand Prix
13,+3 Laps,55,0,Giancarlo Fisichella,Benetton,2001 Australian Grand Prix
,Electrical,52,0,Jenson Button,Benetton,2001 Australian Grand Prix
,Engine,40,0,Juan Pablo Montoya,Williams,2001 Australian Grand Prix
,Engine,38,0,Jarno Trulli,Jordan,2001 Australian Grand Prix
,Suspension,25,0,Mika Häkkinen,McLaren,2001 Australian Grand Prix
,Collision,4,0,Jacques Villeneuve,BAR,2001 Australian Grand Prix
,Collision,4,0,Ralf Schumacher,Williams,2001 Australian Grand Prix
,Battery,3,0,Tarso Marques,Minardi,2001 Australian Grand Prix
,Spun off,2,0,Enrique Bernoldi,Arrows,2001 Australian Grand Prix
,Brakes,0,0,Gastón Mazzacane,Prost,2001 Australian Grand Prix
1,1:47:34.801,55,10,Michael Schumacher,Ferrari,2001 Malaysian Grand Prix
2,+23.660,55,6,Rubens Barrichello,Ferrari,2001 Malaysian Grand Prix
3,+28.555,55,4,David Coulthard,McLaren,2001 Malaysian Grand Prix
4,+46.543,55,3,Heinz-Harald Frentzen,Jordan,2001 Malaysian Grand Prix
5,+48.233,55,2,Ralf Schumacher,Williams,2001 Malaysian Grand Prix
6,+48.606,55,1,Mika Häkkinen,McLaren,2001 Malaysian Grand Prix
7,+1:21.560,55,0,Jos Verstappen,Arrows,2001 Malaysian Grand Prix
8,+1 Lap,54,0,Jarno Trulli,Jordan,2001 Malaysian Grand Prix
9,+1 Lap,54,0,Jean Alesi,Prost,2001 Malaysian Grand Prix
10,+1 Lap,54,0,Luciano Burti,Jaguar,2001 Malaysian Grand Prix
11,+2 Laps,53,0,Jenson Button,Benetton,2001 Malaysian Grand Prix
12,+2 Laps,53,0,Gastón Mazzacane,Prost,2001 Malaysian Grand Prix
13,+3 Laps,52,0,Fernando Alonso,Minardi,2001 Malaysian Grand Prix
14,+4 Laps,51,0,Tarso Marques,Minardi,2001 Malaysian Grand Prix
,Fuel pressure,31,0,Giancarlo Fisichella,Benetton,2001 Malaysian Grand Prix
,Water leak,3,0,Eddie Irvine,Jaguar,2001 Malaysian Grand Prix
,Spun off,3,0,Enrique Bernoldi,Arrows,2001 Malaysian Grand Prix
,Spun off,3,0,Jacques Villeneuve,BAR,2001 Malaysian Grand Prix
,Spun off,3,0,Juan Pablo Montoya,Williams,2001 Malaysian Grand Prix
,Spun off,3,0,Nick Heidfeld,Sauber,2001 Malaysian Grand Prix
,Oil leak,1,0,Olivier Panis,BAR,2001 Malaysian Grand Prix
,Driveshaft,0,0,Kimi Räikkönen,Sauber,2001 Malaysian Grand Prix
1,1:39:00.834,71,10,David Coulthard,McLaren,2001 Brazilian Grand Prix
2,+16.164,71,6,Michael Schumacher,Ferrari,2001 Brazilian Grand Prix
3,+1 Lap,70,4,Nick Heidfeld,Sauber,2001 Brazilian Grand Prix
4,+1 Lap,70,3,Olivier Panis,BAR,2001 Brazilian Grand Prix
5,+1 Lap,70,2,Jarno Trulli,Jordan,2001 Brazilian Grand Prix
6,+1 Lap,70,1,Giancarlo Fisichella,Benetton,2001 Brazilian Grand Prix
7,+1 Lap,70,0,Jacques Villeneuve,BAR,2001 Brazilian Grand Prix
8,+1 Lap,70,0,Jean Alesi,Prost,2001 Brazilian Grand Prix
9,+3 Laps,68,0,Tarso Marques,Minardi,2001 Brazilian Grand Prix
10,+7 Laps,64,0,Jenson Button,Benetton,2001 Brazilian Grand Prix
11,Electrical,63,0,Heinz-Harald Frentzen,Jordan,2001 Brazilian Grand Prix
,Spun off,55,0,Kimi Räikkönen,Sauber,2001 Brazilian Grand Prix
,Clutch,54,0,Gastón Mazzacane,Prost,2001 Brazilian Grand Prix
,Spun off,54,0,Ralf Schumacher,Williams,2001 Brazilian Grand Prix
,Spun off,52,0,Eddie Irvine,Jaguar,2001 Brazilian Grand Prix
,Collision,38,0,Juan Pablo Montoya,Williams,2001 Brazilian Grand Prix
,Collision,37,0,Jos Verstappen,Arrows,2001 Brazilian Grand Prix
,Engine,30,0,Luciano Burti,Jaguar,2001 Brazilian Grand Prix
,Electrical,25,0,Fernando Alonso,Minardi,2001 Brazilian Grand Prix
,Hydraulics,15,0,Enrique Bernoldi,Arrows,2001 Brazilian Grand Prix
,Collision,2,0,Rubens Barrichello,Ferrari,2001 Brazilian Grand Prix
,Stalled,0,0,Mika Häkkinen,McLaren,2001 Brazilian Grand Prix
1,1:30:44.817,62,10,Ralf Schumacher,Williams,2001 San Marino Grand Prix
2,+4.352,62,6,David Coulthard,McLaren,2001 San Marino Grand Prix
3,+34.766,62,4,Rubens Barrichello,Ferrari,2001 San Marino Grand Prix
4,+36.315,62,3,Mika Häkkinen,McLaren,2001 San Marino Grand Prix
5,+1:25.558,62,2,Jarno Trulli,Jordan,2001 San Marino Grand Prix
6,+1 Lap,61,1,Heinz-Harald Frentzen,Jordan,2001 San Marino Grand Prix
7,+1 Lap,61,0,Nick Heidfeld,Sauber,2001 San Marino Grand Prix
8,+1 Lap,61,0,Olivier Panis,BAR,2001 San Marino Grand Prix
9,+1 Lap,61,0,Jean Alesi,Prost,2001 San Marino Grand Prix
10,+2 Laps,60,0,Enrique Bernoldi,Arrows,2001 San Marino Grand Prix
11,+2 Laps,60,0,Luciano Burti,Jaguar,2001 San Marino Grand Prix
12,+2 Laps,60,0,Jenson Button,Benetton,2001 San Marino Grand Prix
,Engine,50,0,Tarso Marques,Minardi,2001 San Marino Grand Prix
,Clutch,48,0,Juan Pablo Montoya,Williams,2001 San Marino Grand Prix
,Engine,42,0,Eddie Irvine,Jaguar,2001 San Marino Grand Prix
,Engine,31,0,Giancarlo Fisichella,Benetton,2001 San Marino Grand Prix
